986,448,73,78.04,1
941,466,70,77.44,1
990,467,67,76.46,1
959,496,73,81.29,1
979,465,76,80.71,1
956,451,76,79.49,1
990,487,70,79.41,1
943,476,68,77.19,1
935,469,67,76.10,1
979,441,73,77.47,1
986,448,76,79.54,1
982,476,73,80.04,1
939,481,72,79.51,1
1019,465,71,78.58,1
987,476,77,82.09,1
970,460,75,79.77,1
965,461,72,78.30,1
959,444,71,76.50,1
987,466,74,79.86,1
990,487,72,80.41,1
1001,489,75,82.16,1
998,478,72,79.83,1
959,469,70,77.82,1
950,441,71,76.20,1
986,471,75,80.71,1
966,466,68,76.67,1
939,481,68,77.51,1
979,462,75,80.10,1
966,459,72,78.16,1
961,460,70,77.19,1
977,454,76,79.90,1
942,489,67,77.62,1
1020,468,77,81.80,1
972,458,72,78.14,1
949,480,67,77.03,1
956,448,70,76.27,1
1009,461,81,83.19,1
966,476,70,78.40,1
969,462,72,78.40,1
990,462,76,80.60,1
874,412,70,72.90,0
901,433,63,71.18,0
888,454,69,75.59,0
834,411,61,67.97,0
891,426,67,72.58,0
876,450,59,70.19,0
810,390,66,68.72,0
791,452,62,71.06,0
788,399,67,69.68,0
810,402,71,72.10,0
834,389,68,69.87,0
790,410,67,70.50,0
819,369,65,66.78,0
910,399,61,67.79,0
951,365,62,66.19,0
876,391,65,68.90,0
862,401,70,72.00,0
808,331,61,61.91,0
803,345,63,63.89,0
765,398,64,67.90,0
732,403,69,70.46,0
831,421,61,68.67,0
873,456,58,70.10,0
890,432,59,69.00,0
902,444,61,70.99,0
854,399,64,68.78,0
876,406,61,67.99,0
890,393,67,70.17,0
907,407,70,72.84,0
881,387,66,69.15,0
690,359,61,62.88,0
764,401,64,68.10,0
896,381,62,66.85,0
952,399,64,69.67,0
810,387,62,66.50,0
860,401,65,69.48,0
934,432,66,72.90,0
921,401,63,69.03,0
873,398,69,71.38,0
766,402,71,71.70,0
921,372,63,66.92,0
863,399,68,70.86,0
913,387,64,68.44,0
908,412,67,71.71,0
931,350,69,68.41,0
765,412,66,69.91,0
843,432,62,70.08,0
864,404,61,67.73,0
897,412,58,67.11,0
844,387,63,67.31,0
970,460,75,79.77,1
963,469,77,81.36,1
942,481,78,82.54,1
936,465,77,80.82,1
945,455,79,81.18,1
969,442,81,81.45,1
998,478,72,79.83,1
967,469,81,83.40,1
986,471,75,80.71,1
967,455,79,81.38,1
942,475,74,80.10,1
976,461,76,80.40,1
951,483,72,79.77,1
991,478,76,81.77,1
1002,476,76,81.72,1
986,461,79,81.99,1
979,462,75,80.10,1
